EventId,EventTemplate,Occurrences
30c0e8ef,* Async loop,28
c06b821d,at Method),2942
85e0c3e4,at java.net.URLClassLoader.findClass(URLClassLoader.java:*),448
0bd5c8b1,at java.lang.ClassLoader.loadClass(ClassLoader.java:*),896
29cdb8c4,at java.lang.Class.forName(Class.java:*),208
a6add755,debug*: identity file type *,60
b1b55b5b,is not,207
220aef20,util.NativeCodeLoader: Unable to load nativehadoop library for your platform using builtinjava classes where applicable,559
3dd2f39c,the the,371
bf9596d4,Rerun Maven using the X switch to enable full debug logging.,95
7d0db380,at,15904
04c4e1c2,jar *,47
2aa88825,Exception in thread,967
fb377654,at java.lang.Class.getMethod(Class.java:*),37
d41d8cd9,,12114
f7a5d316,at java.sql.DriverManager.getConnection(DriverManager.java:*),91
dfec6dcc,Connecting to,64
9226b145,no to,23
3389dae3,*,49
a2156158,will be,47
6f04fa54,mapreduce.Job: Running job: job**,157
f5d383f3,at scala.collection.AbstractIterator.foreach(Iterator.scala:*),24
dbaa7cbd,at java.lang.Thread.run(Thread.java:*),583
0e4c901c,Caused by:,986
4122106a,at org.apache.hadoop.fs.FileSystemLinkResolver.resolve(FileSystemLinkResolver.java:*),154
d5566982,for,185
4a16219e,at org.apache.hadoop.fs.FileSystem.get(FileSystem.java:*),106
c0d1557f,at org.apache.hadoop.mapreduce.Job.waitForCompletion(Job.java:*),171
66265773,at org.apache.hadoop.hdfs.DistributedFileSystem.getFileStatus(DistributedFileSystem.java:*),73
ead99c2f,to the,206
cf7ca7d3,omitted for duplicate),27
88f15eda,is to,116
4593fd2d,error creating,30
7022e39c,Could not find main,367
573021e5,at org.apache.pig.Main.main(Main.java:*),91
df6491b5,at java.lang.reflect.Method.invoke(Method.java:*),954
16ec1a6b,at org.apache.hadoop.util.RunJar.main(RunJar.java:*),447
60ea5657,at org.apache.hadoop.tools.mapred.CopyMapper.copyFileWithRetry(CopyMapper.java:*),20
75a31b0e,at org.apache.hadoop.hbase.ipc.RpcServer.call(RpcServer.java:*),26
e0f76102,at org.apache.hadoop.hbase.ipc.CallRunner.run(CallRunner.java:*),24
